# CVM_name:cvmh Lat:33.7449 Long:-118.4071 Start_depth(m):0 End_depth(m):30000 Vert_spacing(m):100
# Depth(m),Density(kg/m^3),Vp(m),Vs(m)
0.0,2345.136,3669.245,1990.729
100.0,2311.361,3458.281,1808.863
200.0,2312.134,3462.892,1812.838
300.0,2276.772,3262.378,1639.982
400.0,2248.518,3117.002,1514.657
500.0,2214.832,2959.304,1378.71
600.0,2186.826,2839.684,1275.589
700.0,2524.439,4932.39,2572.4
800.0,2527.32,4951.408,2586.477
900.0,2530.364,4971.395,2601.307
1000.0,2531.89,4981.376,2608.6
1100.0,2535.974,5007.943,2628.5
1200.0,2539.089,5028.068,2643.5
1300.0,2539.791,5032.594,2644.4
1400.0,2544.28,5061.354,2670.1
1500.0,2545.176,5067.069,2672.7
1600.0,2549.101,5091.975,2693.1
1700.0,2551.549,5107.421,2703.1
1800.0,2555.047,5129.36,2719.6
1900.0,2558.878,5153.217,2740.8
2000.0,2561.406,5168.865,2750.4
2100.0,2562.201,5173.765,2751.3
2200.0,2565.834,5196.082,2769.928
2300.0,2570.641,5225.369,2795.1
2400.0,2573.973,5245.514,2810.4
2500.0,2575.349,5253.788,2815.174
2600.0,2578.403,5272.083,2827.586
2700.0,2582.627,5297.212,2845.76
2800.0,2586.421,5319.605,2862.6
2900.0,2589.278,5336.353,2874.765
3000.0,2592.655,5356.037,2890.1
3100.0,2597.42,5383.587,2911.721
3200.0,2602.231,5411.152,2932.2
3300.0,2603.703,5419.532,2942.6
3400.0,2608.149,5444.703,2962.519
3500.0,2612.603,5469.707,2982.807
3600.0,2615.948,5488.349,2999.534
3700.0,2619.831,5509.833,3017.961
3800.0,2625.538,5541.131,3041.4
3900.0,2628.444,5556.938,3051.752
4000.0,2632.318,5577.882,3067.383
4100.0,2636.735,5601.579,3088.674
4200.0,2641.051,5624.543,3107.802
4300.0,2645.651,5648.82,3126.908
4400.0,2648.08,5661.561,3136.5
4500.0,2652.674,5685.501,3153.374
4600.0,2656.936,5707.538,3172.555
4700.0,2660.001,5723.283,3183.7
4800.0,2665.196,5749.771,3203.151
4900.0,2668.1,5764.479,3213.5
5000.0,2673.172,5789.983,3231.113
5100.0,2678.878,5818.413,3253.5
5200.0,2680.841,5828.127,3261.479
5300.0,2683.873,5843.072,3272.418
5400.0,2687.796,5862.301,3285.385
5500.0,2693.001,5887.613,3302.696
5600.0,2699.317,5918.04,3325.4
5700.0,2702.753,5934.462,3338.582
5800.0,2706.308,5951.359,3352.811
